arquivo,slug,camel,categoria,decisao,uso
Single-Neutral-Actions-Add--Streamline-Ultimate.svg,user-add,userAdd,generico,new,
Single-Neutral-Actions-Address--Streamline-Ultimate.svg,user-address,userAddress,generico,new,
Single-Neutral-Actions-Alarm--Streamline-Ultimate.svg,user-alarm,userAlarm,generico,new,
Single-Neutral-Actions-Block--Streamline-Ultimate.svg,user-block,userBlock,generico,new,
Single-Neutral-Actions-Cart--Streamline-Ultimate.svg,user-cart,userCart,generico,new,
Single-Neutral-Actions-Chat--Streamline-Ultimate.svg,user-chat,userChat,generico,new,
Single-Neutral-Actions-Check-1--Streamline-Ultimate.svg,user-check-1,userCheck1,generico,new,
Single-Neutral-Actions-Check-2--Streamline-Ultimate.svg,user-check-2,userCheck2,generico,new,
Single-Neutral-Actions-Coding--Streamline-Ultimate.svg,user-coding,userCoding,generico,new,
Single-Neutral-Actions-Credit-Card--Streamline-Ultimate.svg,user-credit-card,userCreditCard,generico,new,
Single-Neutral-Actions-Download--Streamline-Ultimate.svg,user-download,userDownload,generico,new,
Single-Neutral-Actions-Edit-1--Streamline-Ultimate.svg,user-edit,userEdit,generico,new,
Single-Neutral-Actions-Flag--Streamline-Ultimate.svg,user-flag,userFlag,generico,new,
Single-Neutral-Actions-Flash--Streamline-Ultimate.svg,user-flash,userFlash,generico,new,
Single-Neutral-Actions-Flight--Streamline-Ultimate.svg,user-flight,userFlight,generico,new,
Single-Neutral-Actions-Graduate--Streamline-Ultimate.svg,user-graduate,userGraduate,generico,new,
Single-Neutral-Actions-Heart--Streamline-Ultimate.svg,user-heart,userHeart,generico,new,
Single-Neutral-Actions-Home--Streamline-Ultimate.svg,user-home,userHome,generico,new,
Single-Neutral-Actions-Image--Streamline-Ultimate.svg,user-image,userImage,generico,new,
Single-Neutral-Actions-Information--Streamline-Ultimate.svg,user-information,userInformation,generico,new,
Single-Neutral-Actions-Key--Streamline-Ultimate.svg,user-key,userKey,generico,new,
